id,income_per_capita
0,27041
1000,22732
1001,23774
1003,26197
1005,15842
1007,18953
1009,20360
1011,17746
1013,17221
1015,21372
1017,17072
1019,20434
1021,20326
1023,16193
1025,16790
1027,18267
1029,18365
1031,22706
1033,21689
1035,16960
1037,18563
1039,18958
1041,19900
1043,20339
1045,21299
1047,16304
1049,17552
1051,21866
1053,16711
1055,20354
1057,18228
1059,17610
1061,17697
1063,14564
1065,15221
1067,18438
1069,22797
1071,18742
1073,26256
1075,19926
1077,21737
1079,19795
1081,22384
1083,21943
1085,16466
1087,15494
1089,29588
1091,17403
1093,18654
1095,19654
1097,21274
1099,17951
1101,25102
1103,22758
1105,14266
1107,16475
1109,19085
1111,18813
1113,18386
1115,21067
1117,33607
1119,13667
1121,18710
1123,22595
1125,22489
1127,20321
1129,17748
1131,12258
1133,16855
2000,29382
2013,21788
2016,34966
2020,33436
2050,18169
2060,28662
2068,44689
2070,23324
2090,28373
2100,28843
2105,23169
2110,34880
2122,26940
2130,29867
2150,26862
2164,16450
2170,24906
2180,20452
2185,24125
2188,20001
2195,29679
2198,23915
2220,30013
2230,32801
2240,24209
2261,27708
2270,11382
2275,28485
2282,28608
2290,18516
4000,25203
4001,11614
4003,22419
4005,22238
4007,19054
4009,15842
4011,20754
4012,20050
4013,27185
4015,21321
4017,15794
4019,24556
4021,21526
4023,15706
4025,25458
4027,18244
5000,20977
5001,20898
5003,18949
5005,20632
5007,24647
5009,20182
5011,15654
5013,16869
5015,19134
5017,13954
5019,16212
5021,18911
5023,20280
5025,18875
5027,20460
5029,19562
5031,21521
5033,18637
5035,18104
5037,18060
5039,16971
5041,16562
5043,18789
5045,22080
5047,17266
5049,17096
5051,22318
5053,22449
5055,17923
5057,17207
5059,17922
5061,19218
5063,19776
5065,17609
5067,15124
5069,18735
5071,15985
5073,17593
5075,15520
5077,14685
5079,16222
5081,19036
5083,18924
5085,22154
5087,17776
5089,19032
5091,19445
5093,18053
5095,16445
5097,20054
5099,21992
5101,15528
5103,18072
5105,20418
5107,14187
5109,18536
5111,16436
5113,17047
5115,19281
5117,17024
5119,26975
5121,17577
5123,13273
5125,24099
5127,16668
5129,15617
5131,21568
5133,16123
5135,15655
5137,15473
5139,20247
5141,17300
5143,22508
5145,20238
5147,19790
5149,15993
6000,29020
6001,33831
6003,30436
6005,26532
6007,22904
6009,27728
6011,20381
6013,37742
6015,19016
6017,34203
6019,20375
6021,19257
6023,23496
6025,16017
6027,27358
6029,19939
6031,17416
6033,21425
6035,19239
6037,26983
6039,18988
6041,53284
6043,26642
6045,24101
6047,17994
6049,20193
6051,28938
6053,25345
6055,34955
6057,31100
6059,33901
6061,35617
6063,27639
6065,24642
6067,27033
6069,25840
6071,21792
6073,30705
6075,44373
6077,22767
6079,29098
6081,43286
6083,29487
6085,39201
6087,33532
6089,23964
6091,27948
6093,22528
6095,28288
6097,32939
6099,21931
6101,22830
6103,20299
6105,21963
6107,17865
6109,26775
6111,32063
6113,26761
6115,20278
8000,29679
8001,24000
8003,17798
8005,31808
8007,22208
8009,19960
8011,16189
8013,36047
8014,34268
8015,26572
8017,22012
8019,35337
8021,16668
8023,16148
8025,18299
8027,26539
8029,20592
8031,29844
8033,19180
8035,42253
8037,35104
8039,34189
8041,27750
8043,19816
8045,28038
8047,30798
8049,28469
8051,25134
8053,35719
8055,21383
8057,22594
8059,34147
8061,23502
8063,20517
8065,18374
8067,29980
8069,29188
8071,21012
8073,22676
8075,22190
8077,26053
8079,46720
8081,24337
8083,23147
8085,23048
8087,19936
8089,17996
8091,28751
8093,29893
8095,21550
8097,62544
8099,17934
8101,21419
8103,27325
8105,18181
8107,34450
8109,19462
8111,31462
8113,40301
8115,20590
8117,35048
8119,29259
8121,22195
8123,24458
8125,20998
9000,36468
9001,48394
9003,32779
9005,35387
9007,37251
9009,31318
9011,32382
9013,32092
9015,25603
10000,28935
10001,24226
10003,31071
10005,26689
11000,40846
11001,40846
12000,26503
12001,24305
12003,18067
12005,24858
12007,17152
12009,27342
12011,28465
12013,14506
12015,27561
12017,22714
12019,26689
12021,36942
12023,18596
12027,17187
12029,15504
12031,25948
12033,23154
12035,25498
12037,22924
12039,17245
12041,18364
12043,19810
12045,18754
12047,14716
12049,15209
12051,14591
12053,22872
12055,19343
12057,27252
12059,15545
12061,33014
12063,16604
12065,20323
12067,16575
12069,24768
12071,30363
12073,25467
12075,18381
12077,16157
12079,16486
12081,28418
12083,22407
12085,35546
12086,22619
12087,36086
12089,27908
12091,28361
12093,18375
12095,25778
12097,20770
12099,33586
12101,23811
12103,28872
12105,22283
12107,18235
12109,36198
12111,23779
12113,24700
12115,32768
12117,29741
12119,22314
12121,17798
12123,17248
12125,13126
12127,24474
12129,22114
12131,27125
12133,17850
13000,25098
13001,17647
13003,16131
13005,17025
13007,14817
13009,17481
13011,19337
13013,20760
13015,22656
13017,15284
13019,16672
13021,21269
13023,17908
13025,19290
13027,20886
13029,27209
13031,17871
13033,15901
13035,20313
13037,12370
13039,21602
13043,15798
13045,20551
13047,22142
13049,17337
13051,25240
13053,21739
13055,15079
13057,30001
13059,19797
13061,16123
13063,18962
13065,15916
13067,32713
13069,16766
13071,17561
13073,29185
13075,15856
13077,25730
13079,19677
13081,16855
13083,19042
13085,24750
13087,17751
13089,28064
13091,15239
13093,13131
13095,20227
13097,24516
13099,15989
13101,13663
13103,22364
13105,17451
13107,15278
13109,17166
13111,21310
13113,34942
13115,20696
13117,36098
13119,18855
13121,36412
13123,19320
13125,15772
13127,27273
13129,18219
13131,18502
13133,23919
13135,27301
13137,19629
13139,23004
13141,11250
13143,18755
13145,28753
13147,20231
13149,16706
13151,25990
13153,25192
13155,15348
13157,21368
13159,19933
13161,15318
13163,15087
13165,16980
13167,14716
13169,20879
13171,18065
13173,16961
13175,19280
13177,23716
13179,17640
13181,18938
13183,14456
13185,20876
13187,20094
13189,18200
13191,20323
13193,13538
13195,18118
13197,16645
13199,17586
13201,20322
13205,15982
13207,25882
13209,16977
13211,25181
13213,17155
13215,21717
13217,22158
13219,31715
13221,18983
13223,23022
13225,18896
13227,26525
13229,17781
13231,20684
13233,18832
13235,15729
13237,25188
13239,16327
13241,23543
13243,17385
13245,20135
13247,23847
13249,16331
13251,17049
13253,18760
13255,19695
13257,17576
13259,12681
13261,17464
13263,16855
13265,13248
13267,15900
13269,14918
13271,13680
13273,15550
13275,21501
13277,18124
13279,17183
13281,23635
13283,14662
13285,19314
13287,15452
13289,16920
13291,23750
13293,17449
13295,19674
13297,22624
13299,17416
13301,15816
13303,15322
13305,18342
13307,14969
13309,11395
13311,22471
13313,19612
13315,12777
13317,17219
13319,17486
13321,19000
15000,28662
15001,25960
15003,29221
15005,53144
15007,26982
15009,29121
16000,22262
16001,27805
16003,22918
16005,20781
16007,19478
16009,18158
16011,18601
16013,31626
16015,23212
16017,23379
16019,23189
16021,17853
16023,20949
16025,20389
16027,18290
16029,20368
16031,17513
16033,14416
16035,21703
16037,22681
16039,20705
16041,17878
16043,18543
16045,20066
16047,17523
16049,18305
16051,18349
16053,17119
16055,23846
16057,19198
16059,21297
16061,18581
16063,18896
16065,13050
16067,17467
16069,23128
16071,18316
16073,18049
16075,20701
16077,17938
16079,18668
16081,23577
16083,19701
16085,27384
16087,19162
17000,28469
17001,23941
17003,16149
17005,22225
17007,24991
17009,16866
17011,24081
17013,21849
17015,24904
17017,19440
17019,23495
17021,20673
17023,23083
17025,19578
17027,24722
17029,19798
17031,29021
17033,22165
17035,21097
17037,23500
17039,24970
17041,21780
17043,37592
17045,21394
17047,22174
17049,23584
17051,20842
17053,22560
17055,18131
17057,20469
17059,22200
17061,21883
17063,27450
17065,20669
17067,23098
17069,19202
17071,21960
17073,25023
17075,22887
17077,18409
17079,20765
17081,21104
17083,24144
17085,27494
17087,17806
17089,28980
17091,22633
17093,29640
17095,20872
17097,37970
17099,24605
17101,19966
17103,24411
17105,22930
17107,21501
17109,18245
17111,31766
17113,26969
17115,25044
17117,22993
17119,25873
17121,20133
17123,25028
17125,23456
17127,20186
17129,26846
17131,25081
17133,28745
17135,21226
17137,23404
17139,23929
17141,24057
17143,27299
17145,17913
17147,26988
17149,20590
17151,19681
17153,17351
17155,25740
17157,19938
17159,22842
17161,24476
17163,24316
17165,20782
17167,27907
17169,21730
17171,27800
17173,22075
17175,25409
17177,23234
17179,27238
17181,19230
17183,20432
17185,23497
17187,19961
17189,24360
17191,21263
17193,23037
17195,22956
17197,29207
17199,21468
17201,23773
17203,29200
18000,24044
18001,19312
18003,24140
18005,26897
18007,21369
18009,21823
18011,36344
18013,25864
18015,23179
18017,20608
18019,23521
18021,20523
18023,21069
18025,18157
18027,19223
18029,24903
18031,22346
18033,21861
18035,19991
18037,25061
18039,22485
18041,19439
18043,25890
18045,21297
18047,22403
18049,21034
18051,22848
18053,20104
18055,20945
18057,38298
18059,28260
18061,23344
18063,29303
18065,20410
18067,23729
18069,21428
18071,21385
18073,23423
18075,18868
18077,20740
18079,19254
18081,27509
18083,20844
18085,24025
18087,19159
18089,22973
18091,23206
18093,21277
18095,21864
18097,24682
18099,22499
18101,22450
18103,19196
18105,21649
18107,23111
18109,23970
18111,23588
18113,20316
18115,25214
18117,18472
18119,20507
18121,18917
18123,20421
18125,20518
18127,28081
18129,26983
18131,21328
18133,21122
18135,20095
18137,22462
18139,20906
18141,23136
18143,18795
18145,26295
18147,23862
18149,18571
18151,23273
18153,19909
18155,22664
18157,21602
18159,23819
18161,19936
18163,24112
18165,21508
18167,20205
18169,20882
18171,22566
18173,29237
18175,19303
18177,22153
18179,22944
18181,21812
18183,24248
19000,25060
19001,22897
19003,26835
19005,20604
19007,20721
19009,23957
19011,24814
19013,22380
19015,25079
19017,26493
19019,23897
19021,20881
19023,23900
19025,22195
19027,24468
19029,22447
19031,24724
19033,25332
19035,23995
19037,21783
19039,22168
19041,23198
19043,22101
19045,23040
19047,19988
19049,32031
19051,22464
19053,17515
19055,22681
19057,23114
19059,28771
19061,24455
19063,22985
19065,21812
19067,21296
19069,21253
19071,23275
19073,23727
19075,27136
19077,26219
19079,25280
19081,22530
19083,23737
19085,23939
19087,23838
19089,22028
19091,24633
19093,23700
19095,26491
19097,22647
19099,23498
19101,22668
19103,26987
19105,21641
19107,21685
19109,26338
19111,21240
19113,28045
19115,20030
19117,19510
19119,22815
19121,26775
19123,22027
19125,24374
19127,23000
19129,24554
19131,22622
19133,21761
